1/64		.0156
1/32		.0313
3/64		.0469
1/16		.0625
5/64		.0781
3/32		.0938
7/64		.1094
1/8		.1250
9/64		.1406
5/32		.1562
11/64		.1719
3/16		.1875
13/64		.2031
7/32		.2188
15/64		.2344
1/4		.2500
17/64		.2656
9/32		.2812
19/64		.2969
5/16		.3125
21/64		.3281
11/32		.3438
23/64		.3594
3/8		.3750
25/64		.3906
13/32		.4062
27/64		.4219
7/16		.4375
29/64		.4531
15/32		.4688
31/64		.4844
1/2		.5000
33/64		.5156
17/32		.5313
35/64		.5469
9/16		.5625
37/64		.5781
19/32		.5938
39/64		.6094
5/8		.6250
41/64		.6406
21/32		.6562
43/64		.6719
11/16		.6875
45/64		.7031
23/32		.7188
47/64		.7344
3/4		.7500
49/64		.7656
25/32		.7812
51/64		.7969
13/16		.8125
53/64		.8281
27/32		.8438
55/64		.8594
7/8		.8750
57/64		.8906
29/32		.9062
59/64		.9219
15/16		.9375
61/64		.9531
31/32		.9688
63/64		.9844
1			1.0000

